,City,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Envira,-7.3,-70.2167,78.26,66,50,1.97,BR,1598929200
1,Wollongong,-34.4333,150.8833,59.79,58,23,7.7,AU,1598929200
2,Olinda,-8.0089,-34.8553,77.09,77,27,15.26,BR,1598929200
3,Grindavik,63.8424,-22.4338,52.18,92,87,10.78,IS,1598929200
4,Hukay,13.8452,120.7029,86.45,68,89,7.16,PH,1598929200
5,Tabou,4.423,-7.3528,75.04,83,89,8.25,CI,1598929200
6,Bredasdorp,-34.5322,20.0403,47.21,91,52,6.71,ZA,1598929200
7,Santa Rosa de Aguán,15.95,-85.7167,82.83,81,3,18.1,HN,1598929200
8,Cap Malheureux,-19.9842,57.6142,72.59,76,13,21.85,MU,1598929200
9,Carauari,-4.8828,-66.8958,74.93,87,49,0.78,BR,1598929200
10,Busselton,-33.65,115.3333,56.48,71,52,26.04,AU,1598929200
11,Sur,22.5667,59.5289,83.55,62,65,6.76,OM,1598929200
12,Rikitea,-23.1203,-134.9692,68.81,86,73,17.85,PF,1598929200
13,Hofn,64.2539,-15.2082,50.9,94,71,15.35,IS,1598929200
14,Punta Arenas,-53.15,-70.9167,35.94,85,8,6.22,CL,1598929200
15,Piopio,-38.4667,175.0167,58.39,77,91,5.68,NZ,1598929200
16,Mwinilunga,-11.7358,24.4293,61.97,66,44,2.98,ZM,1598929200
17,Albany,42.6001,-73.9662,60.06,76,95,3.78,US,1598929200
18,Talnakh,69.4865,88.3972,58.1,75,46,1.28,RU,1598929200
19,Mount Isa,-20.7333,139.5,84.97,15,0,15.3,AU,1598929200
20,Vung Tau,10.346,107.0843,84.51,74,82,8.77,VN,1598929200
21,Ushuaia,-54.8,-68.3,32.85,93,69,2.71,AR,1598929200
22,Lompoc,34.6391,-120.4579,62.24,78,2,3.44,US,1598929200
23,Port Alfred,-33.5906,26.891,57.18,71,100,15.68,ZA,1598929200
24,São Filipe,14.8961,-24.4956,77.43,74,34,5.53,CV,1598929200
25,Saint Paul Harbor,57.79,-152.4072,60.33,64,38,8.05,US,1598929200
26,Beringovskiy,63.05,179.3167,47.8,63,51,11.81,RU,1598929200
27,Port Elizabeth,-33.918,25.5701,57.58,68,100,15.35,ZA,1598929200
28,Iqaluit,63.7506,-68.5145,47.25,72,49,8.41,CA,1598929200
29,Avera,33.194,-82.5271,79.52,88,10,4.16,US,1598929200
30,Kyshtovka,56.555,76.6271,60.58,90,100,15.52,RU,1598929200
31,Morant Bay,17.8815,-76.4093,82.98,78,46,8.95,JM,1598929200
32,Jamestown,42.097,-79.2353,65.32,86,36,12.28,US,1598929200
33,Hobart,-42.8794,147.3294,52.63,52,72,5.03,AU,1598929200
34,San Cristobal,7.7669,-72.225,74.43,75,62,2.8,VE,1598929200
35,Vaini,-21.2,-175.2,78.96,86,44,14.9,TO,1598929200
36,Zvishavane,-20.3267,30.0665,57.83,90,100,9.64,ZW,1598929200
37,Puerto Ayora,-0.7393,-90.3518,64.94,83,80,10.11,EC,1598929200
38,Zyryanka,65.75,150.85,49.62,76,99,9.44,RU,1598929200
39,Lebu,-37.6167,-73.65,46.15,84,0,1.68,CL,1598929200
40,Touros,-5.1989,-35.4608,73.6,90,53,11.79,BR,1598929200
41,Cape Town,-33.9258,18.4232,50.86,82,40,10.22,ZA,1598929200
42,Rūdbār,30.15,62.6,73.65,34,0,17.11,AF,1598929200
43,Mataura,-46.1927,168.8643,46.13,65,82,4.99,NZ,1598929200
44,São João da Barra,-21.6403,-41.0511,72.45,85,80,10.0,BR,1598929200
45,Aklavik,68.2191,-135.0107,57.31,59,87,7.96,CA,1598929200
46,Port Hardy,50.6996,-127.4199,57.87,95,92,2.08,CA,1598929200
47,Saldanha,-33.0117,17.9442,50.59,79,7,12.33,ZA,1598929200
48,Jalu,29.0331,21.5482,74.8,43,0,2.84,LY,1598929200
49,Arraial do Cabo,-22.9661,-42.0278,72.64,85,89,9.57,BR,1598929200
50,Acapulco de Juárez,16.8634,-99.8901,82.18,75,80,2.82,MX,1598929200
51,Hilo,19.7297,-155.09,78.35,70,72,7.9,US,1598929200
52,Hermanus,-34.4187,19.2345,50.67,81,34,13.8,ZA,1598929200
53,Kapaa,22.0752,-159.319,81.63,73,51,17.45,US,1598929200
54,Illapel,-31.6308,-71.1653,47.64,78,36,1.7,CL,1598929200
55,Taloda,21.5667,74.2167,78.94,87,25,6.6,IN,1598929200
56,Airai,-8.9266,125.4092,77.54,54,18,6.78,TL,1598929200
57,Tezu,27.9167,96.1667,82.85,79,83,1.72,IN,1598929200
58,Kholm,59.2667,32.85,54.36,98,100,5.21,RU,1598929200
59,Surgut,61.25,73.4167,53.28,95,77,14.18,RU,1598929200
60,Mount Gambier,-37.8333,140.7667,56.71,60,97,12.73,AU,1598929200
61,Boulder,40.0833,-105.3505,58.39,60,87,4.14,US,1598929200
62,Codrington,-38.2667,141.9667,54.95,70,92,16.55,AU,1598929200
63,Nikolskoye,59.7035,30.7861,54.07,93,83,3.96,RU,1598929200
64,Katsuura,35.1333,140.3,82.51,70,26,13.94,JP,1598929200
65,‘Ewa Beach,21.3156,-158.0072,83.84,61,26,22.77,US,1598929200
66,Siavonga,-16.5382,28.7088,72.46,53,10,5.37,ZM,1598929200
67,Torbay,47.6666,-52.7314,53.64,91,91,21.79,CA,1598929200
68,Coahuayana Viejo,18.7333,-103.6833,77.9,84,85,1.19,MX,1598929200
69,Bluff,-46.6,168.3333,45.41,65,65,7.14,NZ,1598929200
70,Changtu,42.7788,124.0955,76.03,89,89,11.59,CN,1598929200
71,Tombouctou,20.0,-3.0,94.66,34,0,4.74,ML,1598929200
72,Atuona,-9.8,-139.0333,78.64,76,59,22.06,PF,1598929200
73,Kenora,49.8167,-94.4337,52.41,67,38,6.91,CA,1598929200
74,Ponta do Sol,32.6667,-17.1,68.2,69,12,5.46,PT,1598929200
75,Saint-Philippe,-21.3585,55.7679,69.55,72,68,14.61,RE,1598929200
76,Qaanaaq,77.484,-69.3632,29.05,85,89,5.64,GL,1598929200
77,Hong Kong,22.2855,114.1577,88.86,67,5,7.2,HK,1598929200
78,Piran,45.5278,13.5706,61.9,85,100,15.46,SI,1598929200
